path,ext,ok,empty,textBytes,images,error,panic,millis,minMillis,maxMillis,runs
testdata\web-samples\samples\doc\000977-2.doc,.doc,true,false,1502,0,,,8,0,0,
testdata\web-samples\samples\doc\000977.doc,.doc,true,false,1502,0,,,6,0,0,
testdata\web-samples\samples\doc\000979-2.doc,.doc,true,false,13280,27,,,78,0,0,
testdata\web-samples\samples\doc\000979.doc,.doc,true,false,13280,27,,,73,0,0,
testdata\web-samples\samples\doc\000981-2.doc,.doc,true,false,8820,0,,,19,0,0,
testdata\web-samples\samples\doc\000981.doc,.doc,true,false,8820,0,,,25,0,0,
testdata\web-samples\samples\doc\001066-2.doc,.doc,true,false,39434,0,,,295,0,0,
testdata\web-samples\samples\doc\001066.doc,.doc,true,false,39434,0,,,319,0,0,
testdata\web-samples\samples\doc\001076-2.doc,.doc,true,false,21912,0,,,64,0,0,
testdata\web-samples\samples\doc\001076.doc,.doc,true,false,21912,0,,,69,0,0,
testdata\web-samples\samples\doc\001083-2.doc,.doc,true,false,330943,0,,,2421,0,0,
testdata\web-samples\samples\doc\001083.doc,.doc,true,false,330943,0,,,2522,0,0,
testdata\web-samples\samples\doc\001175-2.doc,.doc,true,false,2906,0,,,14,0,0,
testdata\web-samples\samples\doc\001175.doc,.doc,true,false,2906,0,,,10,0,0,
testdata\web-samples\samples\doc\001179-2.doc,.doc,true,false,10203,0,,,44,0,0,
testdata\web-samples\samples\doc\001179.doc,.doc,true,false,10203,0,,,44,0,0,
testdata\web-samples\samples\doc\001265-2.doc,.doc,true,false,20709,1,,,92,0,0,
testdata\web-samples\samples\doc\001265.doc,.doc,true,false,20709,1,,,84,0,0,
testdata\web-samples\samples\doc\001339-2.doc,.doc,true,false,24256,0,,,67,0,0,
testdata\web-samples\samples\doc\001339.doc,.doc,true,false,24256,0,,,57,0,0,
testdata\web-samples\samples\doc\001361-2.doc,.doc,true,false,16465,0,,,96,0,0,
testdata\web-samples\samples\doc\001361.doc,.doc,true,false,16465,0,,,80,0,0,
testdata\web-samples\samples\doc\001362-2.doc,.doc,true,false,52346,0,,,266,0,0,
testdata\web-samples\samples\doc\001362.doc,.doc,true,false,52346,0,,,297,0,0,
testdata\web-samples\samples\doc\001463-2.doc,.doc,true,false,9960,0,,,44,0,0,
testdata\web-samples\samples\doc\001463.doc,.doc,true,false,9960,0,,,45,0,0,
testdata\web-samples\samples\doc\001464-2.doc,.doc,true,false,16612,1,,,225,0,0,
testdata\web-samples\samples\doc\001464.doc,.doc,true,false,16612,1,,,486,0,0,
testdata\web-samples\samples\doc\001470-2.doc,.doc,true,false,139274,2,,,4049,0,0,
testdata\web-samples\samples\doc\001470.doc,.doc,true,false,139274,2,,,2329,0,0,
testdata\web-samples\samples\doc\001472-2.doc,.doc,true,false,96455,0,,,476,0,0,
testdata\web-samples\samples\doc\001472.doc,.doc,true,false,96455,0,,,477,0,0,
testdata\web-samples\samples\doc\001538-2.doc,.doc,true,false,430692,0,,,634,0,0,
